"accession_id","name","country","latitude","longitude","count_phenotypes"
6917,"Fäb-2","Sweden",63.0165,18.3174,149
6918,"Fäb-4","Sweden",63.0165,18.3174,139
6919,"Ga-0","GER",50.3,8,354
6920,"Got-22","GER",51.5338,9.9355,171
6921,"Got-7","GER",51.5338,9.9355,257
6922,"Gu-0","GER",50.3,8,228
6923,"HR-10","UK",51.4083,-0.6383,194
6924,"HR-5","UK",51.4083,-0.6383,321
6926,"Kin-0","US",44.46,-85.37,347
6927,"KNO-10","US",41.2816,-86.621,110
6928,"KNO-18","US",41.2816,-86.621,337
6929,"Kondara","Tajikistan",38.48,68.49,352
6930,"Kz-1","Kazakhstan",49.5,73.1,229
6931,"Kz-9","Kazakhstan",49.5,73.1,265
6932,"Ler-1","GER",47.984,10.8719,374
6933,"LL-0","Spain",41.59,2.49,252
6936,"Lz-0","France",46,3.3,363
6937,"Mrk-0","GER",49,9.3,327
6938,"Ms-0","Russia",55.7522,37.6322,237
6939,"Mt-0","LIB",32.34,22.46,295
6940,"Mz-0","GER",50.3,8.3,482
6942,"Nd-1","GER",50,10,226
6943,"NFA-10","UK",51.4083,-0.6383,318
6944,"NFA-8","UK",51.4083,-0.6383,365
6945,"Nok-3","NED",52.24,4.45,322
6946,"Oy-0","Norway",60.39,6.19,310
6951,"Pu2-23","Czech Republic",49.42,16.36,361
6953,"Pu2-24","Czech Republic",49.42,16.36,121
6956,"Pu2-7","Czech Republic",49.42,16.36,261
6957,"Pu2-8","Czech Republic",49.42,16.36,83
6958,"Ra-0","France",46,3.3,446
6959,"Rennes-1","France",48.5,-1.41,364
6960,"Rennes-11","France",48.5,-1.41,228
6961,"Se-0","Spain",38.3333,-3.53333,486
6962,"Shahdara","Tajikistan",38.35,68.48,289
6963,"Sorbo","Tajikistan",38.35,68.48,396
6964,"Spr1-2","Sweden",56.31635,16.03529,132
6965,"Spr1-6","Sweden",56.31635,16.03529,176
6966,"Sq-1","UK",51.4083,-0.6383,195
6967,"Sq-8","UK",51.4083,-0.6383,331
6968,"Tamm-2","Finland",60,23.5,325
6969,"Tamm-27","Finland",60,23.5,147
6970,"Ts-1","Spain",41.7194,2.93056,338
6971,"Ts-5","Spain",41.7194,2.93056,199
6972,"Tsu-1","Japan",34.43,136.31,153
6973,"Ull2-3","Sweden",56.0648,13.9707,338
6974,"Ull2-5","Sweden",56.0648,13.9707,175
6975,"Uod-1","Austria",48.3,14.45,241
6976,"Uod-7","Austria",48.3,14.45,291
6977,"Van-0","Canada",49.3,-123,294
6978,"Wa-1","Poland",52.3,21,204
6979,"Wei-0","SUI",47.25,8.26,453
6980,"Ws-0.1","Russia",52.3,30,288
6981,"Ws-2","Russia",52.3,30,269
6982,"Wt-5","GER",52.3,9.3,365
6983,"Yo-0","US",37.45,-119.35,269
6984,"Zdr-1","Czech Republic",49.3853,16.2544,239
6985,"Zdr-6","Czech Republic",49.3853,16.2544,330
6986,"Abd-0","UK",57.1539,-2.2207,160
6987,"Ak-1","GER",48.0683,7.62551,235
6988,"Alc-0","Spain",40.49,-3.36,272
6989,"Alst-1","UK",54.8,-2.4333,286
6990,"Amel-1","NED",53.448,5.73,301
6992,"Ang-0","Belgium",50.3,5.3,344
6994,"Ann-1","France",45.9,6.13028,180
6996,"An-2","Belgium",51.2167,4.4,123
6997,"Appt-1","NED",51.8333,5.5833,165
6998,"Arby-1","Sweden",59.43078,16.79994,89
7000,"Aa-0","GER",50.9167,9.57073,384
7002,"Baa-1","NED",51.3333,6.1,340
7003,"Bs-1","SUI",47.5,7.5,158
7004,"Bs-2","SUI",47.5,7.5,171
7008,"Benk-1","NED",52,5.675,317
7011,"Be-1","GER",49.6803,8.6161,122
7013,"Bd-0","GER",52.4584,13.287,195
7014,"Ba-1","UK",56.5459,-4.79821,307
7015,"Bla-1","Spain",41.6833,2.8,184
7017,"Bla-11","Spain",41.6833,2.8,26
7024,"Bla-6","Spain",41.6833,2.8,27
7025,"Bl-1","Italy",44.5041,11.3396,190
7026,"Boot-1","UK",54.4,-3.2667,356
7028,"Bch-1","GER",49.5166,9.3166,273
7029,"Bch-3","GER",49.5166,9.3166,27
7030,"Bch-4","GER",49.5166,9.3166,27
7031,"Bsch-0","GER",50.0167,8.6667,334
7032,"Bsch-2","GER",50.0167,8.6667,27
7033,"Buckhorn Pass","US",41.3599,-122.755,50
